scenario_id,task_id,tube_id,state_machine_final_status,trajectory_status,sample_category,target_type,target_box_id,robot_active_time_s,operator_wait_time_s,total_elapsed_time_s,xy_motion_time_s,z_motion_time_s,scan_time_s,gripper_time_s,settle_time_s,retry_time_s,segment_count,waypoint_count,cycle_time_status,notes
baseline,TASK-7B1-024,TUBE-7B1-024,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.746,0.0,8.746,2.896,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-025,TUBE-7B1-025,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.211,0.0,8.211,2.361,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-026,TUBE-7B1-026,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.665,0.0,8.665,2.815,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-027,TUBE-7B1-027,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.966,0.0,7.966,2.116,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-028,TUBE-7B1-028,completed_manual_review,generated_with_warning,category_B,manual_review,manual_review_01,8.503,0.0,8.503,2.653,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-029,TUBE-7B1-029,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.249,0.0,8.249,2.399,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-030,TUBE-7B1-030,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.743,0.0,7.743,1.893,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-031,TUBE-7B1-031,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.225,0.0,8.225,2.375,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-032,TUBE-7B1-032,completed_output,generated_with_warning,category_A,output_box,output_box_A,7.894,0.0,7.894,2.044,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-033,TUBE-7B1-033,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.171,0.0,8.171,2.321,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-034,TUBE-7B1-034,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.643,0.0,7.643,1.793,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-035,TUBE-7B1-035,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.842,0.0,8.842,2.992,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-036,TUBE-7B1-036,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.494,0.0,8.494,2.644,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-037,TUBE-7B1-037,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.728,0.0,8.728,2.878,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-038,TUBE-7B1-038,completed_output,generated_with_warning,category_C,output_box,output_box_C,7.919,0.0,7.919,2.069,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-039,TUBE-7B1-039,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.207,0.0,8.207,2.357,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-040,TUBE-7B1-040,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.691,0.0,8.691,2.841,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-041,TUBE-7B1-041,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.787,0.0,8.787,2.937,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-042,TUBE-7B1-042,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.125,0.0,8.125,2.275,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-043,TUBE-7B1-043,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.41,0.0,8.41,2.56,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-044,TUBE-7B1-044,completed_manual_review,generated_with_warning,unknown,manual_review,manual_review_01,9.275,0.0,9.275,3.425,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-045,TUBE-7B1-045,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.621,0.0,8.621,2.771,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-046,TUBE-7B1-046,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.867,0.0,8.867,3.017,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-047,TUBE-7B1-047,completed_output,generated_with_warning,category_C,output_box,output_box_C,8.071,0.0,8.071,2.221,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-048,TUBE-7B1-048,completed_output,generated_with_warning,category_D,output_box,output_box_D,8.361,0.0,8.361,2.511,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-049,TUBE-7B1-049,completed_output,generated_with_warning,category_A,output_box,output_box_A,8.849,0.0,8.849,2.999,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
baseline,TASK-7B1-050,TUBE-7B1-050,completed_output,generated_with_warning,category_B,output_box,output_box_B,8.965,0.0,8.965,3.115,3.15,1.0,1.1,0.6,0.0,12,13,estimated_with_warning,Concept-level estimate from Stage 7B-3 trajectory segments.
